Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Brian Winters,25,MIL,SG,80,,34.4,8.4,18.2,.463,8.4,18.2,.463,.463,3.1,3.7,.840,1.1,2.0,3.1,4.9,1.6,0.3,3.0,3.0,19.9,AS
Phil Smith,25,GSW,SG,82,,35.9,7.9,16.7,.472,7.9,16.7,.472,.472,3.9,4.7,.812,1.2,2.4,3.7,4.8,1.3,0.3,3.2,2.7,19.7,
Doug Collins,26,PHI,SG,79,77,35.1,8.1,15.5,.526,8.1,15.5,.526,.526,3.4,4.2,.812,1.1,1.8,2.9,4.1,1.6,0.3,3.2,2.9,19.7,AS
Elvin Hayes,32,WSB,PF,81,,40.1,7.9,17.4,.451,7.9,17.4,.451,.451,4.0,6.3,.634,4.1,9.1,13.3,1.8,1.2,2.0,2.8,3.9,19.7,AS
Marques Johnson,21,MIL,SF,80,,34.6,7.9,15.1,.522,7.9,15.1,.522,.522,3.8,5.1,.736,3.7,6.9,10.6,2.4,1.2,1.3,2.2,2.8,19.5,"MVP-10,ROY-2"
Campy Russell,26,CLE,SF,72,,35.0,7.3,16.2,.448,7.3,16.2,.448,.448,4.9,6.5,.751,2.1,4.2,6.4,3.9,1.2,0.2,2.9,2.7,19.4,
Moses Malone,22,HOU,C,59,,35.7,7.0,14.0,.499,7.0,14.0,.499,.499,5.4,7.5,.718,6.4,8.6,15.0,0.5,0.8,1.3,3.7,3.0,19.4,AS
Bob Dandridge,30,WSB,SF,75,,37.0,7.5,15.9,.471,7.5,15.9,.471,.471,4.4,5.6,.788,1.8,4.1,5.9,3.8,1.3,0.6,3.2,3.5,19.3,
Bill Walton,25,POR,C,58,,33.3,7.9,15.2,.522,7.9,15.2,.522,.522,3.1,4.2,.720,2.0,11.2,13.2,5.0,1.0,2.5,3.6,2.5,18.9,"MVP-1,AS,NBA1"
Dave Cowens,29,BOS,C,77,,41.8,7.8,15.8,.490,7.8,15.8,.490,.490,3.1,3.7,.842,3.2,10.8,14.0,4.6,1.3,0.9,2.8,3.9,18.6,AS
Eric Money,22,DET,PG,76,,33.6,7.9,15.8,.500,7.9,15.8,.500,.500,2.8,3.9,.718,1.2,1.6,2.8,4.7,1.6,0.2,4.2,3.1,18.6,
Mickey Johnson,25,CHI,PF,81,,35.4,6.9,15.0,.462,6.9,15.0,.462,.462,4.5,5.5,.812,2.7,6.4,9.1,3.3,1.1,0.8,3.3,3.9,18.3,
Ricky Sobers,25,IND,PG,79,,38.2,7.0,15.5,.453,7.0,15.5,.453,.453,4.2,5.1,.825,1.2,3.0,4.1,7.4,2.2,0.3,4.5,3.9,18.2,
Gus Williams,24,SEA,PG,79,,32.6,7.6,16.9,.451,7.6,16.9,.451,.451,2.9,3.5,.817,1.1,2.2,3.2,3.7,2.3,0.5,2.4,2.5,18.1,
Earl Monroe,33,NYK,SG,76,,31.2,7.3,14.8,.495,7.3,14.8,.495,.495,3.2,3.8,.832,0.6,1.8,2.4,4.8,0.8,0.3,2.4,2.5,17.8,
Ron Boone,31,KCK,SG,82,,32.4,6.9,15.5,.443,6.9,15.5,.443,.443,3.9,4.6,.854,1.4,1.9,3.3,3.8,1.3,0.1,3.7,2.8,17.7,
Scott Wedman,25,KCK,SF,81,,36.6,7.5,14.7,.509,7.5,14.7,.509,.509,2.7,3.1,.870,1.8,3.9,5.7,2.5,1.2,0.3,2.0,3.0,17.7,
Wilbur Holland,26,CHI,SG,82,,35.2,6.9,15.7,.443,6.9,15.7,.443,.443,2.7,3.4,.799,1.3,2.3,3.6,3.8,2.0,0.2,2.7,3.1,16.6,
Fred Brown,29,SEA,SG,72,,27.3,7.1,14.5,.488,7.1,14.5,.488,.488,2.4,2.7,.898,0.8,1.8,2.6,3.3,1.5,0.3,2.3,2.0,16.6,
Maurice Lucas,25,POR,PF,68,,31.2,6.7,14.5,.458,6.7,14.5,.458,.458,3.0,4.0,.767,2.7,6.4,9.1,2.5,0.9,0.8,2.8,3.3,16.4,"MVP-6,AS,NBA2"
Charlie Scott,29,2TM,SG,79,,31.3,5.5,12.6,.438,5.5,12.6,.438,.438,2.5,3.3,.746,0.8,2.4,3.2,4.8,1.4,0.2,3.0,3.2,13.5,
Charlie Scott,29,BOS,SG,31,,34.8,6.8,15.6,.433,6.8,15.6,.433,.433,2.7,3.8,.712,0.8,2.5,3.3,4.6,1.6,0.2,3.4,3.1,16.3,
Charlie Scott,29,LAL,SG,48,,29.0,4.7,10.6,.442,4.7,10.6,.442,.442,2.3,3.0,.775,0.8,2.3,3.1,4.9,1.2,0.2,2.8,3.2,11.7,
Walt Frazier,32,CLE,PG,51,,32.6,6.6,14.0,.471,6.6,14.0,.471,.471,3.0,3.5,.850,1.1,3.0,4.1,4.1,1.5,0.3,2.2,2.4,16.2,
Kevin Porter,27,2TM,PG,82,,34.3,6.0,12.9,.469,6.0,12.9,.469,.469,3.0,3.9,.763,0.6,2.0,2.6,10.2,1.5,0.2,4.4,3.5,15.0,
Kevin Porter,27,DET,PG,8,,15.9,1.8,3.9,.452,1.8,3.9,.452,.452,1.1,1.6,.692,0.6,1.3,1.9,4.5,0.6,0.0,1.5,2.3,4.6,
Kevin Porter,27,NJN,PG,74,,36.3,6.5,13.8,.470,6.5,13.8,.470,.470,3.2,4.1,.765,0.6,2.0,2.7,10.8,1.6,0.2,4.7,3.6,16.2,
John Havlicek,37,BOS,SF,82,,34.1,6.7,14.8,.449,6.7,14.8,.449,.449,2.8,3.3,.855,1.1,2.9,4.0,4.0,1.1,0.3,2.5,2.3,16.1,AS
Gail Goodrich,34,NOJ,SG,81,,31.5,6.4,13.0,.495,6.4,13.0,.495,.495,3.3,4.1,.795,0.9,1.3,2.2,4.8,1.0,0.3,2.5,2.3,16.1,
Lionel Hollins,24,POR,PG,81,,33.8,6.6,14.8,.442,6.6,14.8,.442,.442,2.8,3.7,.743,1.0,2.4,3.4,4.7,1.9,0.4,3.0,3.3,15.9,AS
Mitch Kupchak,23,WSB,PF,67,,26.3,5.9,11.5,.512,5.9,11.5,.512,.512,4.2,6.0,.697,2.4,4.4,6.9,1.1,0.4,0.6,2.7,2.9,15.9,
Otis Birdsong,22,KCK,SG,73,,25.7,6.4,13.1,.492,6.4,13.1,.492,.492,3.0,4.2,.697,1.0,1.4,2.4,2.4,1.0,0.2,2.0,2.5,15.8,
Billy Paultz,29,SAS,C,80,,31.0,6.5,12.2,.529,6.5,12.2,.529,.529,2.9,3.8,.752,2.2,6.3,8.4,2.7,0.5,2.4,2.1,2.8,15.8,
World B. Free,24,PHI,SG,76,5,27.0,5.1,11.3,.455,5.1,11.3,.455,.455,5.4,7.4,.731,1.2,1.6,2.8,4.0,0.9,0.5,2.6,2.6,15.7,
John Shumate,25,2TM,PF,80,,34.5,4.9,9.7,.506,4.9,9.7,.506,.506,5.0,6.4,.787,2.0,6.6,8.5,2.3,1.1,0.7,2.9,2.5,14.8,
John Shumate,25,BUF,PF,18,,32.8,4.2,8.4,.497,4.2,8.4,.497,.497,4.1,5.5,.747,1.8,5.3,7.1,3.2,0.8,0.5,2.6,3.2,12.4,
John Shumate,25,DET,PF,62,,35.0,5.1,10.0,.508,5.1,10.0,.508,.508,5.3,6.6,.797,2.0,6.9,8.9,2.0,1.2,0.7,3.0,2.3,15.5,
Swen Nater,28,BUF,C,78,,35.6,6.4,12.7,.504,6.4,12.7,.504,.504,2.7,3.5,.765,3.6,9.6,13.2,2.8,0.5,0.6,2.9,3.5,15.5,
Alvan Adams,23,PHO,C,70,,27.3,6.2,12.8,.485,6.2,12.8,.485,.485,3.1,4.2,.730,2.3,5.8,8.1,3.2,1.2,0.9,3.3,3.5,15.5,
Kevin Grevey,24,WSB,SF,81,,26.2,6.2,13.9,.448,6.2,13.9,.448,.448,3.0,3.8,.789,1.5,2.0,3.6,1.9,0.8,0.2,2.0,2.5,15.5,
James Edwards,22,2TM,C,83,,29.0,6.0,13.2,.453,6.0,13.2,.453,.453,3.3,5.1,.646,2.4,5.0,7.4,1.0,0.6,0.9,2.0,3.9,15.2,
James Edwards,22,LAL,C,25,,28.9,5.8,12.6,.459,5.8,12.6,.459,.459,3.2,5.0,.640,1.8,5.4,7.2,1.2,0.6,1.1,2.3,3.6,14.8,
James Edwards,22,IND,C,58,,29.0,6.0,13.4,.450,6.0,13.4,.450,.450,3.3,5.1,.649,2.6,4.9,7.5,1.0,0.6,0.9,1.9,4.0,15.4,
Mike Bantom,26,IND,SF,82,,33.8,6.1,12.8,.479,6.1,12.8,.479,.479,3.1,4.2,.743,2.2,5.2,7.4,2.9,1.2,0.6,2.7,4.1,15.3,
Al Skinner,25,2TM,SG,77,,20.1,2.9,6.3,.455,2.9,6.3,.455,.455,2.1,2.6,.798,0.9,2.0,2.9,1.9,0.8,0.3,2.1,3.1,7.9,
Al Skinner,25,NJN,SG,8,,34.6,5.1,12.6,.406,5.1,12.6,.406,.406,4.9,5.5,.886,1.8,4.8,6.5,4.1,1.6,0.6,3.6,4.3,15.1,
Al Skinner,25,DET,SG,69,,18.5,2.6,5.6,.468,2.6,5.6,.468,.468,1.8,2.3,.774,0.8,1.7,2.5,1.6,0.8,0.2,1.9,3.0,7.0,
Jim Chones,28,CLE,C,82,,35.4,6.4,13.6,.472,6.4,13.6,.472,.472,2.2,3.0,.720,2.7,7.6,10.3,1.6,0.6,0.7,2.2,2.9,15.0,
Lonnie Shelton,22,NYK,PF,82,,28.3,6.2,12.0,.514,6.2,12.0,.514,.514,2.5,3.4,.736,2.5,4.6,7.1,2.4,1.3,1.4,2.8,4.3,14.9,
Jo Jo White,31,BOS,PG,46,,35.7,6.3,15.0,.419,6.3,15.0,.419,.419,2.2,2.6,.858,1.2,2.8,3.9,4.5,1.1,0.2,2.5,2.4,14.8,
Dave Meyers,24,MIL,PF,80,,30.2,5.4,11.7,.461,5.4,11.7,.461,.461,3.9,5.4,.722,1.8,4.9,6.7,3.0,1.1,0.6,2.7,3.0,14.7,
Bobby Jones,26,DEN,PF,75,,32.5,5.9,10.1,.578,5.9,10.1,.578,.578,2.8,3.7,.751,2.2,6.3,8.5,3.4,1.8,1.7,2.6,2.9,14.5,AS
Earl Tatum,24,2TM,SG,82,,30.8,6.2,13.3,.469,6.2,13.3,.469,.469,1.9,2.4,.781,1.0,2.6,3.6,3.6,1.7,0.5,2.2,3.1,14.3,
Earl Tatum,24,LAL,SG,25,,26.5,6.1,12.6,.487,6.1,12.6,.487,.487,1.8,2.4,.763,0.9,2.7,3.6,2.8,1.5,0.4,2.1,3.4,14.0,
Earl Tatum,24,IND,SG,57,,32.6,6.3,13.6,.462,6.3,13.6,.462,.462,1.9,2.4,.788,1.0,2.6,3.6,4.0,1.8,0.5,2.3,3.0,14.4,
Phil Chenier,27,WSB,SG,36,,26.0,5.6,12.5,.443,5.6,12.5,.443,.443,3.0,3.8,.790,0.4,2.4,2.8,2.0,1.0,0.3,1.9,1.5,14.1,
Marvin Webster,25,SEA,C,82,,35.5,5.2,10.4,.502,5.2,10.4,.502,.502,3.5,5.6,.629,4.4,8.2,12.6,2.5,0.6,2.0,3.1,3.2,14.0,MVP-10
Lou Hudson,33,LAL,SG,82,,27.8,6.0,12.1,.497,6.0,12.1,.497,.497,1.7,2.2,.774,1.0,1.3,2.3,2.4,1.1,0.2,1.8,2.4,13.7,
Norm Nixon,22,LAL,PG,81,,34.3,6.1,12.3,.497,6.1,12.3,.497,.497,1.4,2.0,.714,0.5,2.4,3.0,6.8,1.7,0.1,3.1,3.2,13.7,ROY-5
Spencer Haywood,28,NYK,PF,67,,26.3,6.1,12.7,.484,6.1,12.7,.484,.484,1.4,2.0,.711,2.1,4.5,6.6,1.9,0.6,1.1,2.1,2.8,13.7,
Dave Bing,34,BOS,PG,80,,28.2,5.3,11.8,.449,5.3,11.8,.449,.449,3.1,3.7,.824,1.0,1.7,2.7,3.8,1.0,0.2,2.7,3.1,13.6,
Junior Bridgeman,24,MIL,SF,82,,22.9,5.8,11.5,.503,5.8,11.5,.503,.503,2.0,2.5,.810,1.4,2.1,3.5,2.1,0.9,0.4,2.1,2.5,13.6,
Sidney Wicks,28,BOS,PF,81,,29.8,5.3,11.4,.467,5.3,11.4,.467,.467,2.7,4.1,.660,2.8,5.6,8.3,2.1,0.8,0.6,2.8,3.9,13.4,
Scott May,23,CHI,SF,55,,32.8,5.1,11.2,.454,5.1,11.2,.454,.454,3.2,3.9,.810,2.1,3.9,6.0,2.1,0.9,0.1,2.3,3.1,13.4,
Dan Roundfield,24,IND,PF,79,,30.7,5.3,10.9,.489,5.3,10.9,.489,.489,2.8,3.8,.727,3.5,6.7,10.2,2.5,1.0,1.9,2.5,3.8,13.4,
Darnell Hillman,28,2TM,PF,78,,25.2,4.4,9.1,.479,4.4,9.1,.479,.479,2.1,3.7,.584,2.6,4.8,7.4,1.3,0.8,1.0,2.2,3.7,10.9,
Darnell Hillman,28,NJN,PF,45,,27.1,5.2,11.1,.471,5.2,11.1,.471,.471,2.6,4.6,.576,2.8,4.7,7.5,1.1,1.1,1.0,2.4,3.6,13.1,
Darnell Hillman,28,DEN,PF,33,,22.6,3.2,6.3,.498,3.2,6.3,.498,.498,1.5,2.5,.605,2.2,5.0,7.2,1.6,0.4,1.1,2.0,3.9,7.8,
Mike Newlin,29,HOU,SG,45,,26.2,4.8,11.0,.436,4.8,11.0,.436,.436,3.4,3.9,.874,0.8,1.9,2.7,4.5,1.2,0.2,2.7,2.8,13.0,
Jamaal Wilkes,24,LAL,SF,51,,29.2,5.4,12.4,.440,5.4,12.4,.440,.440,2.1,2.9,.716,2.2,5.2,7.5,3.6,1.5,0.4,2.1,3.2,12.9,
Howard Porter,29,2TM,SF,63,,21.0,4.9,10.1,.487,4.9,10.1,.487,.487,2.0,2.5,.800,1.6,2.8,4.4,0.7,0.5,0.6,0.9,2.1,11.8,
Howard Porter,29,DET,SF,8,,13.4,2.0,5.4,.372,2.0,5.4,.372,.372,0.5,0.9,.571,0.6,1.5,2.1,0.3,0.4,0.6,0.6,1.9,4.5,
Howard Porter,29,NJN,SF,55,,22.1,5.3,10.8,.495,5.3,10.8,.495,.495,2.2,2.7,.811,1.7,3.0,4.8,0.7,0.5,0.6,0.9,2.2,12.8,
Richard Washington,22,KCK,PF,78,,28.6,5.4,11.4,.477,5.4,11.4,.477,.477,1.9,2.6,.754,2.4,6.0,8.4,1.5,0.9,0.9,2.4,4.2,12.8,
Steve Hawes,27,ATL,PF,75,,31.0,5.2,11.4,.453,5.2,11.4,.453,.453,2.3,2.9,.818,2.4,6.8,9.2,2.5,1.0,0.8,2.0,3.1,12.7,
Dennis Johnson,23,SEA,SG,81,,27.3,4.5,10.9,.417,4.5,10.9,.417,.417,3.7,5.0,.732,1.9,1.8,3.6,2.8,1.5,0.6,2.0,2.6,12.7,
Bob Gross,24,POR,SF,72,,30.0,5.3,10.0,.529,5.3,10.0,.529,.529,2.1,2.6,.800,2.5,3.1,5.6,3.5,1.4,0.7,2.5,3.3,12.7,
Elmore Smith,28,CLE,C,81,,24.6,5.0,10.0,.497,5.0,10.0,.497,.497,2.5,3.8,.663,2.2,6.2,8.4,0.7,0.6,2.2,1.7,3.0,12.5,
Robert Parish,24,GSW,C,82,,24.0,5.2,11.1,.472,5.2,11.1,.472,.472,2.0,3.2,.625,2.6,5.7,8.3,1.2,1.0,1.5,2.5,3.5,12.5,
M.L. Carr,27,DET,SF,79,,32.4,4.9,10.8,.455,4.9,10.8,.455,.455,2.5,3.4,.738,2.6,4.5,7.1,2.3,1.9,0.3,2.7,3.1,12.4,
John Lucas,24,HOU,PG,82,,35.8,5.0,11.5,.435,5.0,11.5,.435,.435,2.4,3.0,.772,0.6,2.5,3.1,9.4,2.0,0.1,2.6,2.5,12.4,
Austin Carr,29,CLE,SG,82,,26.7,5.0,11.5,.438,5.0,11.5,.438,.438,2.2,2.7,.813,0.9,1.4,2.3,2.7,0.8,0.2,1.8,2.0,12.3,
Ron Lee,25,PHO,PG,82,,23.5,5.1,11.6,.439,5.1,11.6,.439,.439,2.1,2.8,.746,1.2,1.9,3.1,3.7,2.7,0.2,2.7,3.1,12.2,
Aaron James,25,NOJ,SF,80,,26.5,5.4,10.8,.497,5.4,10.8,.497,.497,1.5,2.0,.745,2.0,3.2,5.3,1.4,0.5,0.3,1.6,3.2,12.2,
Larry McNeill,27,2TM,PF,46,,20.4,3.5,7.7,.455,3.5,7.7,.455,.455,3.2,3.8,.829,1.7,2.7,4.4,1.0,0.4,0.2,1.5,2.5,10.2,
Larry McNeill,27,GSW,PF,9,,7.4,0.7,2.0,.333,0.7,2.0,.333,.333,1.7,2.1,.789,0.2,1.3,1.6,0.2,0.0,0.1,0.8,1.6,3.0,
Larry McNeill,27,BUF,PF,37,,23.6,4.2,9.1,.462,4.2,9.1,.462,.462,3.5,4.2,.833,2.1,3.0,5.1,1.2,0.5,0.3,1.6,2.7,11.9,
Mike Green,26,2TM,C,72,,19.2,3.3,7.1,.463,3.3,7.1,.463,.463,1.5,2.0,.754,1.8,3.2,5.0,1.1,0.4,1.4,1.5,2.7,8.1,
Mike Green,26,SEA,C,9,,27.8,4.8,9.7,.494,4.8,9.7,.494,.494,2.3,3.4,.677,2.4,3.7,6.1,1.1,0.7,1.4,2.4,2.9,11.9,
Mike Green,26,SAS,C,63,,18.0,3.1,6.8,.457,3.1,6.8,.457,.457,1.4,1.8,.775,1.7,3.1,4.8,1.0,0.4,1.4,1.3,2.7,7.6,
Lucius Allen,30,KCK,PG,77,,27.9,4.8,11.0,.441,4.8,11.0,.441,.441,2.3,2.9,.791,0.9,2.1,3.0,4.7,1.2,0.4,2.8,2.3,11.9,
Kermit Washington,26,2TM,PF,57,,28.4,4.3,8.9,.487,4.3,8.9,.487,.487,3.0,4.3,.691,3.8,7.0,10.8,1.3,0.8,1.1,1.9,3.3,11.6,
Kermit Washington,26,LAL,PF,25,,30.0,4.4,9.8,.451,4.4,9.8,.451,.451,2.7,4.4,.618,4.4,6.8,11.2,1.2,0.8,1.0,2.1,3.0,11.5,
Kermit Washington,26,BOS,PF,32,,27.1,4.3,8.2,.521,4.3,8.2,.521,.521,3.2,4.3,.750,3.3,7.2,10.5,1.3,0.9,1.3,1.7,3.6,11.8,
Marvin Barnes,25,2TM,PF,60,,27.4,4.7,11.0,.422,4.7,11.0,.422,.422,2.1,3.0,.703,2.3,5.1,7.3,2.3,1.1,1.4,2.3,4.0,11.4,
Marvin Barnes,25,DET,PF,12,,22.4,4.4,9.8,.449,4.4,9.8,.449,.449,1.2,2.4,.483,2.3,5.3,7.6,1.6,0.6,0.9,2.4,3.6,10.0,
Marvin Barnes,25,BUF,PF,48,,28.7,4.7,11.3,.416,4.7,11.3,.416,.416,2.4,3.2,.745,2.2,5.0,7.3,2.4,1.2,1.5,2.2,4.1,11.8,
Darryl Dawkins,21,PHI,C,70,11,24.6,4.7,8.2,.575,4.7,8.2,.575,.575,2.2,3.1,.709,1.7,6.3,7.9,1.2,0.5,1.8,1.8,3.8,11.7,
Brian Taylor,26,DEN,PG,39,,31.3,4.7,10.3,.452,4.7,10.3,.452,.452,2.3,2.9,.765,0.8,1.7,2.5,3.4,1.8,0.2,2.0,3.1,11.6,
Jim Price,28,2TM,PG,83,,23.2,3.5,7.9,.448,3.5,7.9,.448,.448,1.6,2.0,.799,0.7,2.4,3.1,3.1,1.4,0.1,2.1,2.4,8.7,
Jim Price,28,DEN,PG,49,,22.2,2.9,6.0,.481,2.9,6.0,.481,.481,1.0,1.3,.773,0.6,2.6,3.2,3.2,1.4,0.1,2.1,2.4,6.8,
Jim Price,28,DET,PG,34,,24.7,4.5,10.7,.421,4.5,10.7,.421,.421,2.5,3.0,.816,0.8,2.2,3.0,3.0,1.3,0.1,2.2,2.4,11.5,
Charlie Criss,29,ATL,PG,77,,25.1,4.1,9.8,.425,4.1,9.8,.425,.425,3.1,3.8,.797,0.3,1.3,1.6,3.8,1.4,0.1,1.9,1.9,11.4,
Bob Wilkerson,23,DEN,SF,81,,34.3,4.7,11.6,.408,4.7,11.6,.408,.408,1.9,2.6,.748,1.2,4.6,5.9,5.4,1.6,0.3,3.6,3.4,11.4,
Sonny Parker,22,GSW,SF,82,,25.2,5.0,9.5,.519,5.0,9.5,.519,.519,1.5,2.1,.705,2.0,2.7,4.7,1.9,1.6,0.4,1.6,2.3,11.4,
Tom Henderson,26,WSB,PG,75,,30.9,4.5,10.5,.432,4.5,10.5,.432,.432,2.4,3.2,.746,0.9,1.7,2.6,5.4,1.2,0.2,2.6,1.7,11.4,
Nate Williams,27,2TM,SG,73,,17.1,4.3,9.9,.431,4.3,9.9,.431,.431,1.4,1.7,.835,0.9,1.9,2.8,1.0,0.8,0.5,1.1,2.5,9.9,
Nate Williams,27,NOJ,SG,27,,16.1,3.3,7.9,.421,3.3,7.9,.421,.421,1.1,1.4,.838,1.0,2.3,3.3,1.3,0.8,0.4,0.9,2.3,7.8,
Nate Williams,27,GSW,SG,46,,17.7,4.8,11.1,.435,4.8,11.1,.435,.435,1.5,1.8,.833,0.8,1.7,2.5,0.9,0.8,0.5,1.3,2.6,11.2,
Ron Behagen,27,3TM,PF,80,,21.7,4.3,10.1,.430,4.3,10.1,.430,.430,2.2,3.1,.725,2.5,3.9,6.4,1.3,0.8,0.4,2.2,3.3,10.9,
Ron Behagen,27,ATL,PF,26,,22.0,4.5,9.6,.470,4.5,9.6,.470,.470,2.0,2.7,.729,2.0,4.6,6.7,1.3,1.2,0.5,2.2,3.7,11.0,
Ron Behagen,27,HOU,PF,3,,11.0,2.3,3.7,.636,2.3,3.7,.636,.636,0.0,0.3,.000,0.7,1.7,2.3,0.7,0.0,0.0,1.0,2.0,4.7,
Ron Behagen,27,IND,PF,51,,22.2,4.4,10.7,.408,4.4,10.7,.408,.408,2.5,3.5,.727,2.9,3.7,6.5,1.3,0.6,0.4,2.2,3.1,11.2,
Lloyd Neal,27,POR,PF,61,,19.2,4.5,8.9,.504,4.5,8.9,.504,.504,2.1,2.9,.718,1.9,4.2,6.1,1.3,0.5,0.3,1.6,2.1,11.0,
