Player,Age,Team,Pos,G,MP,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
Elmore Smith,24,LAL,C,81,36.1,5.4,11.7,.457,5.4,11.7,.457,.457,1.8,3.1,.590,2.5,8.7,11.2,1.9,0.9,4.9,3.8,12.5,
John Brisker,26,SEA,SF,35,20.5,5.1,11.3,.449,5.1,11.3,.449,.449,2.3,2.9,.820,1.7,2.5,4.2,1.6,0.8,0.2,2.0,12.5,
Don Nelson,33,BOS,SF,82,21.3,4.4,8.7,.508,4.4,8.7,.508,.508,2.6,3.3,.788,1.1,3.1,4.2,2.0,0.2,0.2,2.3,11.5,
Paul Silas,30,BOS,PF,82,31.7,4.1,9.4,.440,4.1,9.4,.440,.440,3.2,4.1,.783,4.1,7.1,11.2,2.3,0.8,0.2,3.0,11.5,
Jim Barnett,29,GSW,SG,77,21.9,4.5,9.8,.464,4.5,9.8,.464,.464,2.4,2.9,.814,1.0,1.9,2.9,2.7,0.7,0.1,1.9,11.5,
Jim Fox,30,SEA,C,78,27.9,4.1,8.6,.478,4.1,8.6,.478,.478,3.1,3.8,.823,3.1,6.0,9.2,2.9,0.7,0.3,3.2,11.3,
Phil Jackson,28,NYK,PF,82,25.0,4.4,9.2,.477,4.4,9.2,.477,.477,2.3,3.0,.776,1.5,4.3,5.8,1.6,0.5,0.8,3.4,11.1,
Willis Reed,31,NYK,C,19,26.3,4.4,9.7,.457,4.4,9.7,.457,.457,2.2,2.8,.792,2.5,4.9,7.4,1.6,0.6,1.1,2.6,11.1,
Clem Haskins,30,PHO,SG,81,22.5,4.5,9.8,.460,4.5,9.8,.460,.460,2.1,2.5,.842,1.0,1.8,2.7,3.2,1.0,0.2,2.0,11.1,
Ron Behagen,23,KCO,PF,80,25.7,4.5,10.3,.432,4.5,10.3,.432,.432,2.0,2.7,.764,2.4,4.7,7.1,1.7,0.7,0.5,3.6,11.0,ROY-2
Zaid Abdul-Aziz,27,HOU,C,79,31.1,4.3,9.3,.459,4.3,9.3,.459,.459,2.4,3.0,.804,3.3,8.4,11.7,2.1,1.0,1.3,2.9,10.9,
Dick Gibbs,25,SEA,SF,71,21.5,4.3,9.9,.431,4.3,9.9,.431,.431,2.3,2.8,.806,1.3,1.9,3.1,1.1,0.5,0.3,2.7,10.8,
Curtis Rowe,24,DET,PF,82,30.5,4.6,9.4,.494,4.6,9.4,.494,.494,1.4,2.1,.698,2.0,4.2,6.3,1.7,0.6,0.4,2.2,10.7,
Don Chaney,27,BOS,SG,81,27.9,4.3,9.3,.464,4.3,9.3,.464,.464,1.8,2.2,.828,2.6,2.1,4.7,2.2,1.0,0.8,3.0,10.4,
Don Adams,26,DET,SF,74,31.1,4.1,10.0,.408,4.1,10.0,.408,.408,2.1,2.7,.761,1.8,4.3,6.1,1.9,1.5,0.2,3.3,10.3,
Butch Beard,26,GSW,PG,79,27.0,4.0,7.8,.512,4.0,7.8,.512,.512,2.2,3.0,.739,1.7,3.2,4.9,3.8,1.3,0.1,3.1,10.2,
Mike Bantom,22,PHO,PF,76,26.1,4.1,10.4,.399,4.1,10.4,.399,.399,1.9,2.8,.662,2.3,4.6,6.8,2.1,0.7,0.6,3.8,10.1,
Jim Washington,30,ATL,PF,73,34.5,4.1,8.4,.485,4.1,8.4,.485,.485,1.8,2.7,.684,2.8,7.2,10.1,2.1,0.7,1.0,3.4,10.0,
Larry Jones,31,PHI,PG,72,26.1,3.7,8.6,.423,3.7,8.6,.423,.423,2.7,3.3,.838,1.0,1.6,2.6,3.2,1.2,0.3,1.6,10.0,
Matt Guokas,29,3TM,SG,75,24.9,2.6,5.3,.492,2.6,5.3,.492,.492,0.5,0.8,.650,0.4,1.2,1.6,3.2,0.7,0.3,2.0,5.7,
Matt Guokas,29,KCO,SG,9,35.0,4.6,9.2,.494,4.6,9.2,.494,.494,0.9,1.3,.667,0.2,2.1,2.3,4.0,0.9,0.1,2.3,10.0,
Matt Guokas,29,HOU,SG,39,25.8,2.4,5.2,.458,2.4,5.2,.458,.458,0.5,0.7,.750,0.4,1.1,1.5,3.4,0.7,0.4,1.9,5.3,
Matt Guokas,29,BUF,SG,27,20.3,2.3,4.1,.555,2.3,4.1,.555,.555,0.4,0.7,.500,0.4,1.0,1.5,2.6,0.7,0.2,2.1,4.9,
Leroy Ellis,33,PHI,C,81,35.0,4.0,8.9,.452,4.0,8.9,.452,.452,1.8,2.4,.750,3.6,7.4,11.0,2.3,1.1,1.1,2.8,9.9,
Cliff Meely,26,HOU,PF,77,22.8,4.3,10.0,.427,4.3,10.0,.427,.427,1.2,1.8,.643,1.3,4.4,5.7,1.6,0.7,1.0,3.0,9.7,
Larry Steele,24,POR,SG,81,32.7,4.0,8.4,.478,4.0,8.4,.478,.478,1.7,2.1,.789,1.1,2.7,3.8,4.0,2.7,0.4,3.6,9.7,
Pat Riley,28,LAL,SG,72,18.9,4.0,9.3,.430,4.0,9.3,.430,.430,1.5,2.0,.764,0.5,1.3,1.8,2.1,0.8,0.0,2.4,9.5,
Freddie Boyd,23,PHI,PG,75,24.2,3.8,9.5,.402,3.8,9.5,.402,.402,1.9,2.6,.723,0.2,1.0,1.2,3.3,0.8,0.1,2.3,9.5,
Howard Porter,25,CHI,SF,73,16.8,4.1,9.0,.450,4.1,9.0,.450,.450,1.3,1.6,.800,1.2,2.7,3.9,0.4,0.3,0.5,1.6,9.4,
John Brown,22,ATL,SF,77,22.3,3.6,8.2,.438,3.6,8.2,.438,.438,2.1,2.8,.751,2.3,3.4,5.7,1.5,0.4,0.2,3.1,9.3,
Clifford Ray,25,CHI,C,80,32.9,3.9,7.7,.511,3.9,7.7,.511,.511,1.5,2.5,.608,3.6,8.7,12.2,3.1,0.7,2.2,3.5,9.3,MVP-11
George Trapp,25,DET,PF,82,18.2,4.1,8.5,.481,4.1,8.5,.481,.481,1.2,1.6,.739,1.2,2.6,3.8,1.0,0.6,0.4,2.8,9.3,
Jon McGlocklin,30,MIL,SG,79,24.2,4.2,8.8,.475,4.2,8.8,.475,.475,0.9,1.0,.900,0.4,1.3,1.8,3.1,0.5,0.1,1.6,9.2,
Curtis Perry,25,MIL,PF,81,29.5,4.0,9.0,.446,4.0,9.0,.446,.446,1.0,1.7,.582,3.0,5.7,8.7,2.3,1.3,1.2,3.7,9.0,
Stu Lantz,27,DET,SG,50,19.6,3.1,7.2,.427,3.1,7.2,.427,.427,2.8,3.3,.848,0.7,1.6,2.3,1.9,0.8,0.1,1.6,8.9,
John Mengelt,24,DET,SG,77,20.2,3.2,7.2,.446,3.2,7.2,.446,.446,2.4,3.0,.795,0.5,2.2,2.7,1.9,0.9,0.1,2.1,8.8,
John Block,29,KCO,PF,82,21.7,3.4,7.7,.434,3.4,7.7,.434,.434,2.0,2.5,.796,1.6,3.2,4.7,1.1,0.8,0.4,2.8,8.7,
Bob Weiss,31,CHI,SG,79,21.6,3.3,7.1,.466,3.3,7.1,.466,.466,1.8,2.2,.835,0.4,0.9,1.3,3.8,1.3,0.2,2.0,8.5,
Bill Bridges,34,LAL,PF,65,27.9,3.3,7.9,.421,3.3,7.9,.421,.421,1.8,2.5,.707,3.0,4.7,7.7,2.3,0.9,0.5,3.4,8.4,
Dean Meminger,25,NYK,SG,78,26.7,3.5,6.9,.508,3.5,6.9,.508,.508,1.3,2.1,.644,1.6,2.0,3.6,2.1,0.8,0.1,2.1,8.3,
John Hummer,25,2TM,PF,53,21.1,2.7,5.8,.472,2.7,5.8,.472,.472,1.1,2.3,.476,1.6,3.8,5.3,2.0,0.5,0.4,2.2,6.5,
John Hummer,25,CHI,PF,18,10.3,1.3,2.6,.500,1.3,2.6,.500,.500,0.8,1.6,.500,0.7,1.3,2.1,0.7,0.2,0.1,1.7,3.3,
John Hummer,25,SEA,PF,35,26.7,3.5,7.4,.467,3.5,7.4,.467,.467,1.3,2.7,.469,2.0,5.0,7.0,2.7,0.7,0.6,2.5,8.2,
Corky Calhoun,23,PHO,SF,77,28.7,3.5,7.5,.461,3.5,7.5,.461,.461,1.3,1.7,.760,1.5,3.8,5.3,1.8,0.9,0.4,3.3,8.2,
Dwight Jones,21,ATL,PF,74,19.6,3.2,6.8,.474,3.2,6.8,.474,.474,1.6,2.1,.744,2.0,4.2,6.1,1.2,0.4,0.9,2.7,8.0,
Willie Norwood,26,DET,SF,74,15.9,3.3,6.5,.510,3.3,6.5,.510,.510,1.3,1.9,.664,1.3,1.8,3.1,0.8,0.8,0.1,2.1,8.0,
Slick Watts,22,SEA,PG,62,23.0,3.2,8.2,.388,3.2,8.2,.388,.388,1.6,2.5,.645,1.2,1.8,2.9,5.7,1.9,0.2,3.3,8.0,ROY-3
Doug Collins,22,PHI,SG,25,17.4,2.9,7.8,.371,2.9,7.8,.371,.371,2.2,2.9,.764,0.3,1.6,1.8,1.6,0.5,0.1,2.6,8.0,
Steve Patterson,25,CLE,C,76,25.1,3.4,7.9,.437,3.4,7.9,.437,.437,0.9,1.5,.616,2.9,5.2,8.1,2.2,0.6,0.8,2.5,7.8,
Lloyd Neal,23,POR,PF,80,19.0,3.1,6.3,.490,3.1,6.3,.490,.490,1.5,2.1,.696,1.9,4.3,6.2,1.1,0.6,0.9,2.4,7.6,
Nick Weatherspoon,23,CAP,SF,65,18.7,3.1,7.4,.412,3.1,7.4,.412,.412,1.5,2.1,.691,2.0,4.1,6.1,0.6,0.7,0.2,2.8,7.6,
Ed Ratleff,23,HOU,SF,81,21.9,3.1,7.2,.434,3.1,7.2,.434,.434,1.3,1.6,.798,1.1,2.4,3.5,2.2,1.1,0.3,2.2,7.5,
Henry Bibby,24,NYK,PG,66,14.9,3.2,7.0,.452,3.2,7.0,.452,.452,1.1,1.3,.830,0.7,1.3,2.0,1.4,1.0,0.0,1.9,7.5,
Toby Kimball,31,PHI,PF,75,21.2,2.9,6.1,.474,2.9,6.1,.474,.474,1.7,2.5,.686,2.5,4.9,7.4,1.0,0.7,0.3,2.7,7.5,
Kenny McIntosh,25,SEA,SF,69,29.8,3.2,8.3,.389,3.2,8.3,.389,.389,0.9,1.6,.607,1.6,3.6,5.2,1.4,0.8,0.4,2.6,7.4,
Steve Bracey,23,ATL,PG,75,19.5,3.2,6.9,.463,3.2,6.9,.463,.463,0.9,1.3,.719,0.3,1.6,1.9,3.1,0.8,0.1,2.1,7.3,
John Gianelli,23,NYK,C,70,20.3,3.0,6.2,.479,3.0,6.2,.479,.479,1.3,1.7,.760,1.6,3.3,4.9,1.1,0.3,0.6,2.3,7.3,
Paul Westphal,23,BOS,SG,82,14.2,2.9,5.8,.501,2.9,5.8,.501,.501,1.4,1.9,.732,0.6,1.1,1.7,2.1,0.5,0.4,2.1,7.2,
Bob Rule,29,CLE,C,26,20.8,2.9,7.4,.396,2.9,7.4,.396,.396,1.3,1.8,.739,1.7,2.3,4.0,1.8,0.5,0.4,2.7,7.2,
Charles Johnson,24,GSW,PG,59,17.8,3.3,7.9,.415,3.3,7.9,.415,.415,0.6,0.9,.691,0.8,2.1,3.0,1.7,1.1,0.1,1.9,7.2,
Gary Melchionni,23,PHO,PG,69,18.1,2.9,6.4,.460,2.9,6.4,.460,.460,1.3,1.6,.860,0.7,1.4,2.1,2.1,0.6,0.1,1.2,7.2,
Chris Ford,25,DET,SG,82,25.1,3.2,7.3,.444,3.2,7.3,.444,.444,0.7,0.9,.740,1.3,2.4,3.7,3.4,1.8,0.2,1.9,7.1,
Jim Cleamons,24,CLE,PG,81,20.3,2.9,6.7,.433,2.9,6.7,.433,.433,1.1,1.6,.699,0.8,2.1,2.8,2.8,0.8,0.2,1.9,7.0,
Don May,28,PHI,SF,56,14.5,2.7,6.6,.414,2.7,6.6,.414,.414,1.6,1.8,.873,0.4,2.0,2.4,1.1,0.4,0.1,2.4,7.0,
Bernie Fryer,24,POR,SG,80,20.9,2.8,6.1,.460,2.8,6.1,.460,.460,1.3,1.7,.793,0.8,1.2,2.0,3.5,1.2,0.1,2.3,7.0,
Cornell Warner,25,2TM,C,72,19.5,2.4,4.8,.499,2.4,4.8,.499,.499,1.2,1.6,.746,1.5,4.0,5.5,1.0,0.4,0.6,2.8,6.0,
Cornell Warner,25,CLE,C,5,9.8,0.4,2.6,.154,0.4,2.6,.154,.154,0.8,0.8,1.000,1.0,2.4,3.4,0.8,0.0,0.4,1.4,1.6,
Cornell Warner,25,MIL,C,67,20.2,2.6,5.0,.512,2.6,5.0,.512,.512,1.2,1.6,.736,1.5,4.2,5.7,1.0,0.4,0.6,2.9,6.3,
Ron Williams,29,MIL,PG,71,15.9,2.7,5.5,.489,2.7,5.5,.489,.489,0.8,1.0,.882,0.3,0.7,1.0,2.2,0.7,0.0,1.6,6.3,
Bud Stallworth,24,SEA,SF,67,15.2,2.8,7.1,.392,2.8,7.1,.392,.392,0.7,1.1,.623,0.8,1.8,2.6,0.5,0.3,0.2,1.9,6.3,
Ollie Johnson,24,POR,SF,79,21.7,2.6,5.5,.482,2.6,5.5,.482,.482,1.0,1.2,.819,1.5,2.6,4.1,2.1,0.8,0.4,2.3,6.3,
Jerry Lucas,33,NYK,C,73,22.3,2.7,5.8,.462,2.7,5.8,.462,.462,0.9,1.3,.698,0.8,4.3,5.1,3.2,0.4,0.3,1.8,6.2,
Larry Cannon,26,PHI,SG,19,17.6,2.6,6.7,.386,2.6,6.7,.386,.386,1.0,1.5,.679,0.8,1.1,1.9,2.7,0.4,0.2,2.5,6.2,
Jim Brewer,22,CLE,PF,82,22.7,2.6,6.7,.383,2.6,6.7,.383,.383,1.0,1.5,.650,2.5,3.9,6.4,1.8,0.6,0.4,2.3,6.1,
George Johnson,25,GSW,C,66,19.6,2.6,5.4,.483,2.6,5.4,.483,.483,0.9,1.6,.551,2.9,5.0,7.9,1.1,0.5,1.9,2.7,6.1,
Bob Kauffman,27,BUF,PF,74,17.6,2.3,4.9,.467,2.3,4.9,.467,.467,1.4,2.0,.713,1.3,3.1,4.4,1.9,0.5,0.2,2.1,6.1,
Dave Wohl,24,2TM,PG,67,15.7,1.8,4.1,.437,1.8,4.1,.437,.437,1.1,1.5,.735,0.2,0.5,0.7,3.5,1.1,0.0,2.0,4.7,
Dave Wohl,24,BUF,PG,41,14.8,1.5,3.7,.400,1.5,3.7,.400,.400,1.0,1.5,.700,0.2,0.5,0.7,3.1,0.8,0.0,1.8,4.0,
Dave Wohl,24,HOU,PG,26,17.3,2.3,4.9,.480,2.3,4.9,.480,.480,1.3,1.6,.786,0.2,0.5,0.7,4.2,1.7,0.0,2.5,6.0,
Clyde Lee,29,GSW,PF,54,30.4,2.4,5.3,.454,2.4,5.3,.454,.454,1.1,2.0,.579,3.5,7.6,11.1,1.3,0.5,0.3,3.3,5.9,MVP-17
Mickey Davis,23,MIL,SF,73,13.9,2.3,4.6,.504,2.3,4.6,.504,.504,1.3,1.5,.830,1.1,2.0,3.1,1.2,0.4,0.1,1.3,5.9,
Wes Unseld,27,CAP,C,56,30.8,2.6,5.9,.438,2.6,5.9,.438,.438,0.6,1.0,.655,2.7,6.5,9.2,2.8,1.0,0.3,2.2,5.9,
Larry McNeill,23,KCO,PF,54,9.6,2.0,4.1,.482,2.0,4.1,.482,.482,1.8,2.6,.707,1.1,1.6,2.7,0.4,0.6,0.1,1.4,5.8,
Stan Love,24,LAL,PF,51,13.7,2.3,5.5,.428,2.3,5.5,.428,.428,1.0,1.3,.766,1.1,2.3,3.3,0.9,0.5,0.4,2.6,5.6,
Mo Layton,25,POR,PG,22,14.9,2.5,5.1,.491,2.5,5.1,.491,.491,0.6,1.2,.538,0.3,1.2,1.5,2.3,0.4,0.0,2.0,5.6,
Barry Clemens,30,CLE,SF,71,12.9,2.3,4.9,.471,2.3,4.9,.471,.471,0.9,1.0,.849,0.6,1.7,2.3,1.1,0.5,0.0,1.9,5.5,
Jim McDaniels,25,SEA,C,27,16.3,2.3,6.4,.364,2.3,6.4,.364,.364,0.9,1.6,.535,1.9,2.9,4.7,0.9,0.3,0.6,1.8,5.5,
Bill Chamberlain,24,PHO,SF,28,13.1,2.0,4.6,.438,2.0,4.6,.438,.438,1.4,2.0,.696,1.2,1.7,2.9,1.3,0.7,0.4,2.6,5.5,
E.C. Coleman,23,HOU,PF,58,18.5,2.2,4.3,.512,2.2,4.3,.512,.512,0.8,1.3,.635,1.4,2.9,4.3,1.3,0.6,0.3,2.8,5.2,
Otto Moore,27,2TM,C,78,12.1,1.5,3.1,.500,1.5,3.1,.500,.500,0.5,0.8,.629,1.0,2.6,3.6,0.8,0.3,0.6,1.3,3.6,
Otto Moore,27,HOU,C,13,24.1,2.5,5.3,.464,2.5,5.3,.464,.464,0.3,0.6,.500,1.5,4.9,6.5,1.4,0.8,1.4,2.8,5.2,
Otto Moore,27,KCO,C,65,9.7,1.4,2.6,.515,1.4,2.6,.515,.515,0.5,0.8,.648,0.9,2.2,3.1,0.7,0.2,0.5,1.0,3.2,
Ron Riley,23,2TM,PF,48,12.3,1.7,4.2,.401,1.7,4.2,.401,.401,0.5,0.8,.632,1.0,2.7,3.7,0.8,0.4,0.5,2.0,3.9,
Ron Riley,23,KCO,PF,12,14.2,2.0,4.8,.421,2.0,4.8,.421,.421,1.2,2.0,.583,1.1,3.6,4.7,0.7,0.3,0.2,2.3,5.2,
Ron Riley,23,HOU,PF,36,11.7,1.6,4.0,.393,1.6,4.0,.393,.393,0.3,0.4,.714,1.0,2.4,3.4,0.8,0.4,0.6,1.9,3.4,
Steve Kuberski,26,BOS,PF,78,12.6,2.0,4.7,.427,2.0,4.7,.427,.427,1.1,1.4,.775,1.2,1.8,3.0,0.5,0.1,0.1,1.6,5.1,
Bob Verga,28,POR,SG,21,10.3,2.0,4.4,.452,2.0,4.4,.452,.452,1.0,1.5,.625,0.5,0.3,0.9,0.8,0.6,0.0,1.0,5.0,
Kevin Kunnert,22,2TM,C,64,11.0,1.6,3.4,.488,1.6,3.4,.488,.488,0.3,0.5,.636,1.3,2.1,3.4,0.7,0.2,0.8,2.4,3.6,
Kevin Kunnert,22,BUF,C,39,8.7,1.3,2.6,.485,1.3,2.6,.485,.485,0.3,0.4,.688,1.1,1.6,2.7,0.6,0.1,0.6,2.1,2.8,
Kevin Kunnert,22,HOU,C,25,14.4,2.2,4.6,.491,2.2,4.6,.491,.491,0.4,0.7,.588,1.6,2.8,4.4,0.7,0.2,1.2,2.7,4.9,
LaRue Martin,23,POR,C,50,10.8,2.0,4.6,.435,2.0,4.6,.435,.435,0.8,1.3,.636,1.5,2.1,3.6,0.4,0.1,0.5,1.8,4.9,
Louie Nelson,22,CAP,SG,49,11.3,1.9,4.4,.433,1.9,4.4,.433,.433,1.1,1.5,.726,0.5,0.9,1.4,1.1,0.6,0.0,1.3,4.9,
Fred Foster,27,CLE,SF,58,11.2,1.9,5.0,.389,1.9,5.0,.389,.389,0.9,1.1,.844,0.7,1.1,1.9,1.1,0.3,0.1,1.4,4.8,
Bob Christian,27,PHO,C,81,15.4,1.7,3.6,.486,1.7,3.6,.486,.486,1.3,1.9,.702,1.0,3.1,4.2,1.2,0.2,0.4,2.4,4.8,
Mike D'Antoni,22,KCO,SG,52,19.0,2.1,5.1,.402,2.1,5.1,.402,.402,0.6,0.9,.702,0.5,1.3,1.8,2.4,1.4,0.3,2.2,4.8,
Ken Durrett,25,KCO,SF,45,10.3,1.9,3.9,.489,1.9,3.9,.489,.489,0.9,1.5,.609,0.6,1.1,1.7,0.4,0.3,0.1,1.5,4.8,
Allan Bristow,22,PHI,SF,55,11.7,2.0,4.9,.400,2.0,4.9,.400,.400,0.8,1.0,.737,1.2,1.8,3.0,1.7,0.5,0.0,1.2,4.7,
Luke Witte,23,CLE,C,57,12.8,1.8,4.3,.432,1.8,4.3,.432,.432,0.8,1.1,.742,1.4,2.6,4.0,0.7,0.1,0.4,1.6,4.5,
Dick Barnett,37,NYK,SG,5,11.6,2.0,5.2,.385,2.0,5.2,.385,.385,0.4,0.6,.667,0.2,0.6,0.8,1.2,0.2,0.0,0.4,4.4,
Dave Stallworth,32,CAP,SF,45,10.2,1.7,4.2,.401,1.7,4.2,.401,.401,1.0,1.2,.855,1.2,1.6,2.8,0.6,0.6,0.1,1.4,4.4,
John Warren,26,CLE,SG,69,11.4,1.9,4.2,.454,1.9,4.2,.454,.454,0.5,0.6,.854,0.6,1.2,1.9,0.9,0.4,0.1,1.7,4.3,
Derrek Dickey,22,GSW,PF,66,14.1,1.7,3.5,.494,1.7,3.5,.494,.494,0.8,1.0,.773,1.9,3.3,5.1,0.8,0.3,0.2,1.7,4.3,
